"","Year","variable","value","Month"
"561",1958,"Sept",-0.07,"Sept"
"562",1959,"Sept",0.88,"Sept"
"563",1960,"Sept",0.39,"Sept"
"564",1961,"Sept",1.24,"Sept"
"565",1962,"Sept",-0.37,"Sept"
"566",1963,"Sept",1.79,"Sept"
"567",1964,"Sept",0.2,"Sept"
"568",1965,"Sept",0.37,"Sept"
"569",1966,"Sept",-0.45,"Sept"
"570",1967,"Sept",0.93,"Sept"
"571",1968,"Sept",-1.92,"Sept"
"572",1969,"Sept",2.07,"Sept"
"573",1970,"Sept",-0.09,"Sept"
"574",1971,"Sept",0.39,"Sept"
"575",1972,"Sept",-0.12,"Sept"
"576",1973,"Sept",-0.3,"Sept"
"577",1974,"Sept",0.82,"Sept"
"578",1975,"Sept",1.56,"Sept"
"579",1976,"Sept",-1.29,"Sept"
"580",1977,"Sept",0.37,"Sept"
"581",1978,"Sept",0.46,"Sept"
"582",1979,"Sept",1.01,"Sept"
"583",1980,"Sept",0.66,"Sept"
"584",1981,"Sept",-1.45,"Sept"
"585",1982,"Sept",1.76,"Sept"
"586",1983,"Sept",-1.12,"Sept"
"587",1984,"Sept",0.17,"Sept"
"588",1985,"Sept",-0.52,"Sept"
"589",1986,"Sept",-1.12,"Sept"
"590",1987,"Sept",-1.22,"Sept"
"591",1988,"Sept",-0.99,"Sept"
"592",1989,"Sept",2.05,"Sept"
"593",1990,"Sept",1.06,"Sept"
"594",1991,"Sept",0.48,"Sept"
"595",1992,"Sept",-0.44,"Sept"
"596",1993,"Sept",-0.57,"Sept"
"597",1994,"Sept",-1.32,"Sept"
"598",1995,"Sept",0.31,"Sept"
"599",1996,"Sept",-0.86,"Sept"
"600",1997,"Sept",0.61,"Sept"
"601",1998,"Sept",-2,"Sept"
"602",1999,"Sept",0.36,"Sept"
"603",2000,"Sept",-0.21,"Sept"
"604",2001,"Sept",-0.65,"Sept"
"605",2002,"Sept",-0.7,"Sept"
"606",2003,"Sept",0.01,"Sept"
"607",2004,"Sept",0.38,"Sept"
"608",2005,"Sept",0.63,"Sept"
"609",2006,"Sept",-1.62,"Sept"
"610",2007,"Sept",0.72,"Sept"
"611",2008,"Sept",1.02,"Sept"
"612",2009,"Sept",1.51,"Sept"
"613",2010,"Sept",-0.79,"Sept"
"614",2011,"Sept",0.54,"Sept"
"615",2012,"Sept",-0.59,"Sept"
"616",2013,"Sept",0.24,"Sept"
"617",2014,"Sept",1.62,"Sept"
"618",2015,"Sept",-0.65,"Sept"
"619",2016,"Sept",0.61,"Sept"
"620",2017,"Sept",-0.61,"Sept"
"621",2018,"Sept",1.67,"Sept"
"622",1950,"Oct",0.85,"Oct"
"623",1951,"Oct",1.87,"Oct"
"624",1952,"Oct",-0.73,"Oct"
"625",1953,"Oct",1.32,"Oct"
"626",1954,"Oct",0.6,"Oct"
"627",1955,"Oct",-1.47,"Oct"
"628",1956,"Oct",0.88,"Oct"
"629",1957,"Oct",1.32,"Oct"
"630",1958,"Oct",0.16,"Oct"
"631",1959,"Oct",0.89,"Oct"
"632",1960,"Oct",-1.73,"Oct"
"633",1961,"Oct",0.51,"Oct"
"634",1962,"Oct",0.41,"Oct"
"635",1963,"Oct",0.94,"Oct"
"636",1964,"Oct",0.74,"Oct"
"637",1965,"Oct",0.38,"Oct"
"638",1966,"Oct",-0.68,"Oct"
"639",1967,"Oct",0.07,"Oct"
"640",1968,"Oct",-2.3,"Oct"
"641",1969,"Oct",0.66,"Oct"
"642",1970,"Oct",-0.92,"Oct"
"643",1971,"Oct",0.58,"Oct"
"644",1972,"Oct",1.09,"Oct"
"645",1973,"Oct",-1.24,"Oct"
"646",1974,"Oct",0.49,"Oct"
"647",1975,"Oct",-0.54,"Oct"
"648",1976,"Oct",-0.08,"Oct"
"649",1977,"Oct",0.52,"Oct"
"650",1978,"Oct",1.93,"Oct"
"651",1979,"Oct",-0.3,"Oct"
"652",1980,"Oct",-1.77,"Oct"
"653",1981,"Oct",-1.35,"Oct"
"654",1982,"Oct",-0.74,"Oct"
"655",1983,"Oct",0.65,"Oct"
"656",1984,"Oct",-0.07,"Oct"
"657",1985,"Oct",0.9,"Oct"
"658",1986,"Oct",1.55,"Oct"
"659",1987,"Oct",0.14,"Oct"
"660",1988,"Oct",-1.08,"Oct"
"661",1989,"Oct",-0.03,"Oct"
"662",1990,"Oct",0.23,"Oct"
